Part Number:WI-4COND-001 Comments Revision Level0 Nested Level0 Parenty PartAC-BLUEBOX-001 Parent Revision0 Bom Quantity2
Part Number:JS-5POS-500 Comments Revision Level0 Nested Level0 Parenty PartAC-BLUEBOX-001 Parent Revision0 Bom Quantity2
Part Number:LH-0.25-004 Comments Revision Level0 Nested Level0 Parenty PartAC-BLUEBOX-001 Parent Revision0 Bom Quantity2
Part Number:WI-4COND-001 Comments Revision Level0 Nested Level0 Parenty PartAC-CABCOM-000 Parent Revision0 Bom Quantity6
Part Number:LH-0.25-001 Comments Revision Level0 Nested Level0 Parenty PartAC-CABCOM-000 Parent Revision0 Bom Quantity3
Part Number:JS-5POS-500 Comments Revision Level0 Nested Level0 Parenty PartAC-CABCOM-000 Parent Revision0 Bom Quantity1
Part Number:JP-RJ45-000 Comments Revision Level0 Nested Level0 Parenty PartAC-CABCOM-000 Parent Revision0 Bom Quantity1
Part Number:LH-0.25-004 Comments Revision Level0 Nested Level0 Parenty PartAC-CABCOM-000 Parent Revision0 Bom Quantity1
Part Number:GL-CABCOM-000 Comments Revision Level0 Nested Level0 Parenty PartAC-CABCOM-000 Parent Revision0 Bom Quantity1
Part Number:NP-USBA-000 Comments Revision Level0 Nested Level0 Parenty PartAC-USBA-001 Parent Revision0 Bom Quantity1
Part Number:WI-26X4COND-72D Comments Revision Level0 Nested Level0 Parenty PartAC-USBA-001 Parent Revision0 Bom Quantity60
Part Number:PA-USBA-001 Comments Revision Level0 Nested Level0 Parenty PartAC-USBA-001 Parent Revision0 Bom Quantity1
Part Number:JS-5POS-500 Comments Revision Level0 Nested Level0 Parenty PartAC-USBA-001 Parent Revision0 Bom Quantity1
Part Number:NEWBOM Comments Revision Level0 Nested Level0 Parenty PartAC-USBA-001 Parent Revision0 Bom Quantity0
Part Number:NEWBOM Comments Revision Level0 Nested Level0 Parenty PartAC-USBA-001 Parent Revision1 Bom Quantity0
